path,class,nr_of_vertices,nr_of_faces,mesh_area,convex_hull_area,bounding_box_area
data\LabeledDB_new\Airplane\61.ply,Airplane,5400,10796,1.915367707806675,3.1643194852800565,6.246197176681186
data\LabeledDB_new\Airplane\62.ply,Airplane,5619,11234,2.0696912986251923,4.033599848153297,9.377676023201488
data\LabeledDB_new\Airplane\63.ply,Airplane,5519,11034,2.1616274551618164,4.288945996055551,9.743527673189043
data\LabeledDB_new\Airplane\64.ply,Airplane,6797,13590,2.2796276107723754,3.9836460419460304,8.983313515334402
data\LabeledDB_new\Airplane\65.ply,Airplane,6448,12892,1.8603382173274319,3.8057902027118966,8.319111680786346
data\LabeledDB_new\Airplane\66.ply,Airplane,7739,15474,2.128028830863797,3.3767349744786954,7.009019506178073
data\LabeledDB_new\Airplane\67.ply,Airplane,7651,15298,2.477437099466306,4.156062324641135,8.936624910501877
data\LabeledDB_new\Airplane\68.ply,Airplane,5583,11162,1.7243807773701558,3.2588004359998988,7.523206375762288
data\LabeledDB_new\Airplane\69.ply,Airplane,6701,13398,2.2497670440764264,4.023493095652444,7.900882230309946
data\LabeledDB_new\Airplane\70.ply,Airplane,5631,11258,2.0302425298566797,3.7596361613009264,7.392099097988051
data\LabeledDB_new\Airplane\71.ply,Airplane,5849,11694,2.1776185195931124,4.235680546024117,9.50502659053504
data\LabeledDB_new\Airplane\72.ply,Airplane,5228,10452,1.9216552690704776,3.9539442223068133,8.32326981988303
data\LabeledDB_new\Airplane\73.ply,Airplane,5109,10214,1.8486577815849656,3.9370650030548933,8.97747402233991
data\LabeledDB_new\Airplane\74.ply,Airplane,5044,10084,1.8496855665836873,3.3363816472508585,7.9513872865203385
data\LabeledDB_new\Airplane\75.ply,Airplane,8679,17354,2.595345323446526,4.085957823983102,7.793297809240302
data\LabeledDB_new\Airplane\76.ply,Airplane,5923,11842,1.9940273486111242,3.7162491341772945,8.418818672035945
data\LabeledDB_new\Airplane\77.ply,Airplane,6587,13170,2.0536087594872203,4.065521302614016,9.4351244055568
data\LabeledDB_new\Airplane\78.ply,Airplane,7470,14936,2.406254074690181,5.1681536687441145,10.983020308837688
data\LabeledDB_new\Airplane\79.ply,Airplane,6689,13374,2.407611887052445,4.654040388648413,10.16615490208406
data\LabeledDB_new\Airplane\80.ply,Airplane,7351,14698,2.554367551852032,4.69154880707637,9.687090013752655
data\LabeledDB_new\Ant\100.ply,Ant,8064,16124,2.366413220615778,4.017065947129877,7.766348670618953
data\LabeledDB_new\Ant\81.ply,Ant,6370,12736,2.1753601470501014,3.8655470623887216,7.255013327032431
data\LabeledDB_new\Ant\82.ply,Ant,8299,16594,2.778507014538145,4.990796889331098,9.567785326463245
data\LabeledDB_new\Ant\83.ply,Ant,6376,12748,2.3287467103518162,4.068412578796573,7.760219216226938
data\LabeledDB_new\Ant\84.ply,Ant,6850,13696,2.215585276014107,4.389672744727351,7.994949305175121
data\LabeledDB_new\Ant\85.ply,Ant,8388,16772,2.689455745131179,4.141284455499662,7.289634187111979
data\LabeledDB_new\Ant\86.ply,Ant,7038,14072,2.44592358259443,3.765316705212468,6.463149760101089
data\LabeledDB_new\Ant\87.ply,Ant,7470,14936,2.663823592982229,5.353306222205317,9.76328057234339
data\LabeledDB_new\Ant\88.ply,Ant,8210,16416,2.8473032051671834,5.725227506523041,12.276916388599311
data\LabeledDB_new\Ant\89.ply,Ant,7654,15304,2.581576438000114,4.111836402625652,7.331537611842453
data\LabeledDB_new\Ant\90.ply,Ant,7877,15750,2.697030496839458,4.891267107330199,8.97910433382232
data\LabeledDB_new\Ant\91.ply,Ant,8640,17276,2.86996493057367,5.387283166520875,9.410349036040031
data\LabeledDB_new\Ant\92.ply,Ant,5867,11730,2.1895450863424455,3.732766589801827,6.955593198773295
data\LabeledDB_new\Ant\93.ply,Ant,8216,16432,2.8495987624302543,5.22270647062777,10.506125343473942
data\LabeledDB_new\Ant\94.ply,Ant,7236,14468,2.2768481760463386,4.6287710168347775,9.146565129359978
data\LabeledDB_new\Ant\95.ply,Ant,7355,14706,2.445665083727492,3.9293454687875857,7.053373054568805
