path,true_class,mesh_is_watertight,diameter,mesh_nr_vertices,mesh_nr_faces,mesh_surface_area,mesh_volume,convex_hull_nr_vertices,convex_hull_nr_faces,convex_hull_surface_area,convex_hull_volume,bounding_box_p0,bounding_box_p1,bounding_box_surface_area,bounding_box_volume,bounding_box_diameter,distance_to_center,scale,alignment,correctly_oriented_axes,eigenvalues
['data' 'LabeledDB_new' 'Airplane' '61' 'normalized_v2.ply'],Airplane,True,1.0003037479011176,5400,10796,0.49648327692475513,0.009706407912622799,699,1394,0.8166860102729432,0.03431762937265975,[-0.49506333 -0.23056881 -0.08752308],[0.50493664 0.30682781 0.1202821 ],1.7137511667071934,0.1116737984903632,1.1541135408015208,6.129129252905588e-11,0.9999999701976776,1.0,3,[0.05256429 0.01571263 0.00190682]
['data' 'LabeledDB_new' 'Airplane' '62' 'normalized_v2.ply'],Airplane,True,1.0008653839495236,5619,11234,0.5440426009732782,0.014161364161493564,661,1318,1.056310128186071,0.048083620717614815,[-0.50197309 -0.41020003 -0.08160709],[0.49802688 0.41623408 0.10427098],2.3318562374625724,0.15361597047904338,1.310551001522856,4.922633034356058e-11,0.9999999701976776,1.0,3,[0.05933398 0.0148842  0.00255529]
['data' 'LabeledDB_new' 'Airplane' '63' 'normalized_v2.ply'],Airplane,True,1.0000072976268117,5519,11034,0.54419072909817,0.013283276192355746,551,1098,1.0757444429892227,0.047282020632104606,[-0.42148024 -0.49830636 -0.07483205],[0.43928203 0.50169367 0.10478216],2.389963283193448,0.154605138255188,1.3316054243231392,7.914676270740262e-11,1.0000000298023224,1.0,3,[0.03936617 0.02844823 0.00179002]
['data' 'LabeledDB_new' 'Airplane' '64' 'normalized_v2.ply'],Airplane,True,1.0072840879041531,6797,13590,0.6694382456735658,0.015872413244062317,362,720,1.1640000904355197,0.06063729681348531,[-0.53068733 -0.41592208 -0.07055708],[0.46931264 0.41733706 0.15393482],2.4896218671745682,0.18705992235547753,1.3208774890923922,1.0349495649587476e-10,0.9999999701976776,1.0,3,[0.05769165 0.02430296 0.00180564]
['data' 'LabeledDB_new' 'Airplane' '65' 'normalized_v2.ply'],Airplane,True,1.0000235847596124,6448,12892,0.6260978647257778,0.013080105089524618,324,644,1.274870453687683,0.05965060778370173,[-0.41633472 -0.49628931 -0.07818685],[0.56712425 0.50371069 0.11683841],2.7405671242659264,0.191799338349947,1.4160601643311501,4.530656763350802e-11,1.0,1.0,3,[0.05378948 0.03256033 0.00150858]
['data' 'LabeledDB_new' 'Airplane' '66' 'normalized_v2.ply'],Airplane,True,1.0079229100539653,7739,15474,0.745895804021154,0.012645183430866994,324,644,1.1781911640114,0.04760603691260442,[-0.41558355 -0.43759212 -0.06220474],[0.58441645 0.4363746  0.11762474],2.421922363767571,0.15716497993943435,1.3402076239722975,5.661991075111102e-11,1.0,1.0,3,[0.04691247 0.03579566 0.00076956]
['data' 'LabeledDB_new' 'Airplane' '67' 'normalized_v2.ply'],Airplane,True,1.0182746884201352,7651,15298,0.7843460724319435,0.018515240260460645,525,1046,1.309590434481381,0.06878904869544909,[-0.44726923 -0.45696074 -0.06558728],[0.55273074 0.45639729 0.18695073],2.7931072577360885,0.23065761355890185,1.3776785848068398,7.537480738209787e-11,0.9999999701976776,1.0,3,[0.05903903 0.03256958 0.00174458]
['data' 'LabeledDB_new' 'Airplane' '68' 'normalized_v2.ply'],Airplane,True,1.1387803871217959,5583,11162,0.7099708657913599,0.014485952168316106,301,598,1.3357950468417725,0.06661043651007763,[-0.36356544 -0.40508705 -0.07122679],[0.6271677  0.59491295 0.18151587],2.987752687060123,0.250400533836725,1.4301856598424725,1.6002120161188002e-10,1.0,1.0,3,[0.05025047 0.04932685 0.00149644]
['data' 'LabeledDB_new' 'Airplane' '69' 'normalized_v2.ply'],Airplane,True,1.0000946970333606,6701,13398,0.6241383098239028,0.01257334759823085,476,948,1.1122323953130462,0.04800747100491648,[-0.48886532 -0.32434544 -0.05727237],[0.51113468 0.42262182 0.11664763],2.1015996219154722,0.1299125493286315,1.2602413459228705,9.518996046345199e-11,1.0,1.0,3,[0.04347594 0.03910812 0.00125103]
['data' 'LabeledDB_new' 'Airplane' '70' 'normalized_v2.ply'],Airplane,True,1.002089265067469,5631,11258,0.5155046566434718,0.007621116075237952,350,696,0.9489100232097482,0.04293270595998814,[-0.49514171 -0.31275451 -0.07138094],[0.50485831 0.28841448 0.13900037],1.8760501013113204,0.12647472594518436,1.1856072332993948,6.07521026863287e-11,1.0000000298023224,1.0,3,[0.05493525 0.01882768 0.00067033]
