path,d1,d2,d3,d4,a3
['data' 'LabeledDB_new' 'Airplane' '61' 'normalized_v2.ply'],"[0.009  0.0628 0.1342 0.1492 0.1264 0.1388 0.1226 0.0608 0.0592 0.0542
 0.047  0.0358 0.     0.     0.     0.     0.     0.     0.     0.    ]","[0.062607   0.15494975 0.17076375 0.1773775  0.172011   0.12841625
 0.0678415  0.031218   0.01771    0.011012   0.00525725 0.000836
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[3.80056250e-02 2.23202500e-01 3.07535875e-01 2.20214375e-01
 1.17068875e-01 6.03652500e-02 2.72217500e-02 6.17462500e-03
 2.11125000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.0820784e-01 3.8932736e-01 3.3387856e-01 1.3055856e-01 3.3413920e-02
 4.5995200e-03 1.4240000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02646716 0.05642345 0.0665739  0.06750311 0.06644564 0.06536348
 0.0638907  0.06096918 0.05740379 0.05376322 0.05081982 0.04843603
 0.04651587 0.0442885  0.04230399 0.04024236 0.03821994 0.03643129
 0.03453626 0.03340231]"
['data' 'LabeledDB_new' 'Airplane' '62' 'normalized_v2.ply'],"[0.     0.0546 0.129  0.132  0.1168 0.1134 0.1226 0.089  0.0806 0.0738
 0.0654 0.0228 0.     0.     0.     0.     0.     0.     0.     0.    ]","[0.049678   0.15240325 0.16539425 0.1671995  0.15724975 0.1297305
 0.0847995  0.04513275 0.026803   0.014712   0.006396   0.0005015
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[2.68430000e-02 1.72493625e-01 2.91765375e-01 2.62677250e-01
 1.37992250e-01 6.43265000e-02 2.99308750e-02 1.17297500e-02
 2.15262500e-03 8.87500000e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[7.4650720e-02 3.2905824e-01 3.7569664e-01 1.6869616e-01 4.5161760e-02
 6.5454400e-03 1.9104000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.0199323  0.04601257 0.06089635 0.06886508 0.07063375 0.06945088
 0.0660991  0.06181068 0.05772158 0.05421399 0.05120923 0.04888655
 0.04635756 0.04462767 0.04303374 0.04129212 0.0394522  0.03783956
 0.03648216 0.03518294]"
['data' 'LabeledDB_new' 'Airplane' '63' 'normalized_v2.ply'],"[0.     0.0684 0.1318 0.1344 0.1364 0.1116 0.1028 0.0942 0.1064 0.0798
 0.024  0.0102 0.     0.     0.     0.     0.     0.     0.     0.    ]","[5.1197250e-02 1.5144875e-01 1.6914825e-01 1.7619275e-01 1.6970100e-01
 1.4050750e-01 8.2607750e-02 3.5856500e-02 1.7319500e-02 4.9642500e-03
 9.4675000e-04 1.0975000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[3.04660000e-02 1.92668625e-01 3.00550625e-01 2.34426625e-01
 1.25241250e-01 6.73973750e-02 3.42030000e-02 1.27383750e-02
 2.22912500e-03 7.90000000e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[8.1664480e-02 3.4500624e-01 3.7331968e-01 1.5841488e-01 3.8338720e-02
 3.2219200e-03 3.4080000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.0189698  0.04177727 0.05392907 0.06172241 0.06508353 0.06433936
 0.06255135 0.05990049 0.0568874  0.05456784 0.05244372 0.05065204
 0.04927872 0.04799545 0.04664024 0.04536842 0.04397357 0.04269144
 0.04142237 0.03980551]"
['data' 'LabeledDB_new' 'Airplane' '64' 'normalized_v2.ply'],"[0.     0.0636 0.0862 0.1012 0.12   0.1434 0.1062 0.1046 0.0932 0.093
 0.0642 0.0182 0.0062 0.     0.     0.     0.     0.     0.     0.    ]","[0.0440045  0.1326535  0.14570075 0.16163825 0.166058   0.14887125
 0.10266825 0.05137875 0.02465675 0.0147205  0.00684275 0.00080675
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[2.37715000e-02 1.54191125e-01 2.65666875e-01 2.32390625e-01
 1.54320250e-01 9.23345000e-02 5.38196250e-02 1.96071250e-02
 3.52262500e-03 3.66750000e-04 9.00000000e-06 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[6.6527040e-02 2.9574240e-01 3.6153456e-01 2.0680816e-01 5.9863680e-02
 9.0233600e-03 4.9744000e-04 3.3600000e-06 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02039187 0.04398402 0.05841471 0.0657257  0.06702156 0.06489113
 0.06160726 0.05852683 0.05590482 0.0536552  0.05195864 0.05065371
 0.04907723 0.0475892  0.0459068  0.04400436 0.04259617 0.04093057
 0.03946797 0.03769225]"
['data' 'LabeledDB_new' 'Airplane' '65' 'normalized_v2.ply'],"[0.007  0.0566 0.0942 0.0964 0.1138 0.0984 0.1068 0.1234 0.1318 0.0708
 0.0472 0.0324 0.0146 0.0066 0.     0.     0.     0.     0.     0.    ]","[0.0477895  0.12395225 0.131869   0.147037   0.171103   0.15732125
 0.10264075 0.05918425 0.0332965  0.018003   0.0073155  0.000488
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[2.70040000e-02 1.61785375e-01 2.57167125e-01 2.23891000e-01
 1.43242000e-01 9.39410000e-02 5.83185000e-02 2.54803750e-02
 7.53787500e-03 1.47387500e-03 1.58375000e-04 5.00000000e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[7.8682560e-02 3.2670352e-01 3.5686112e-01 1.7815728e-01 5.1869600e-02
 7.3723200e-03 3.5360000e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02358523 0.05087027 0.06202041 0.06704721 0.06722496 0.06348979
 0.05934839 0.05597405 0.05251762 0.05023113 0.04904428 0.04808946
 0.04724833 0.04694822 0.04635691 0.04511823 0.04368667 0.04228982
 0.0404665  0.03844252]"
['data' 'LabeledDB_new' 'Airplane' '66' 'normalized_v2.ply'],"[0.0064 0.0556 0.078  0.0906 0.1148 0.132  0.1358 0.1242 0.1176 0.0784
 0.0368 0.0136 0.0108 0.0054 0.     0.     0.     0.     0.     0.    ]","[0.0456015  0.12029925 0.13945275 0.159882   0.17581575 0.15303
 0.10504975 0.0559375  0.02762725 0.01310625 0.00389375 0.00030425
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[2.76050000e-02 1.69490625e-01 2.46256875e-01 2.13873625e-01
 1.52588625e-01 1.04141000e-01 5.67168750e-02 2.15296250e-02
 6.38737500e-03 1.29850000e-03 1.11750000e-04 1.25000000e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.0083088e-01 3.7179584e-01 3.6832416e-01 1.3616608e-01 2.1850400e-02
 1.0294400e-03 3.2000000e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02462328 0.05286743 0.06411176 0.06604735 0.06369948 0.06081721
 0.05774302 0.05490426 0.0530656  0.05150998 0.05021025 0.0493913
 0.04831301 0.04750805 0.04620079 0.04517355 0.04378378 0.04189472
 0.04000501 0.03813017]"
['data' 'LabeledDB_new' 'Airplane' '67' 'normalized_v2.ply'],"[0.     0.0612 0.0704 0.0824 0.1004 0.1282 0.1238 0.1098 0.1158 0.0974
 0.061  0.023  0.0244 0.0022 0.     0.     0.     0.     0.     0.    ]","[0.0384855  0.1158415  0.131651   0.145548   0.16559475 0.15723025
 0.1137555  0.06408675 0.036036   0.021183   0.00954425 0.0010435
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[1.99782500e-02 1.34869500e-01 2.39611625e-01 2.31699250e-01
 1.62530000e-01 1.05811750e-01 6.52611250e-02 2.89338750e-02
 9.22950000e-03 1.89325000e-03 1.80250000e-04 1.62500000e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[6.7573600e-02 2.8764752e-01 3.6200240e-01 2.0489920e-01 6.2494720e-02
 1.3381120e-02 1.8881600e-03 1.1264000e-04 6.4000000e-07 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02052627 0.04587134 0.05972458 0.0659624  0.06545285 0.0634055
 0.05968365 0.05656474 0.05432025 0.05219643 0.05089152 0.04957625
 0.04829533 0.04725883 0.04634772 0.04489389 0.04397878 0.0428136
 0.04181497 0.04042113]"
['data' 'LabeledDB_new' 'Airplane' '68' 'normalized_v2.ply'],"[0.     0.0648 0.0572 0.0764 0.1036 0.1376 0.1282 0.1172 0.1098 0.0524
 0.0478 0.0454 0.027  0.0196 0.0124 0.0006 0.     0.     0.     0.    ]","[4.2324000e-02 1.0909950e-01 1.2382075e-01 1.4503225e-01 1.6190275e-01
 1.5065400e-01 1.0915725e-01 6.6544000e-02 4.6465750e-02 2.9966000e-02
 1.0905250e-02 3.2975000e-03 8.1800000e-04 1.3000000e-05 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[2.18921250e-02 1.41917500e-01 2.28287250e-01 2.08578375e-01
 1.50933750e-01 1.15760250e-01 7.39898750e-02 3.49453750e-02
 1.51275000e-02 5.84312500e-03 1.93337500e-03 6.42500000e-04
 1.45000000e-04 4.00000000e-06 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[7.1206240e-02 3.0876064e-01 3.5264864e-01 1.9198448e-01 6.0960480e-02
 1.2586560e-02 1.6588800e-03 1.6784000e-04 2.5760000e-05 4.8000000e-07
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02642368 0.05168433 0.06306232 0.06627612 0.06374915 0.05970127
 0.05641087 0.05334764 0.05134214 0.05032481 0.05006673 0.05006739
 0.04962209 0.04880965 0.047385   0.04588021 0.04433237 0.04239618
 0.04042821 0.03868984]"
['data' 'LabeledDB_new' 'Airplane' '69' 'normalized_v2.ply'],"[0.     0.068  0.108  0.0992 0.1172 0.1072 0.1014 0.1108 0.1104 0.0978
 0.0422 0.0356 0.0022 0.     0.     0.     0.     0.     0.     0.    ]","[0.05105025 0.13739275 0.150271   0.14959475 0.14758775 0.14518825
 0.11597925 0.064589   0.02578675 0.0088845  0.0031905  0.00048525
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[2.72691250e-02 1.74244250e-01 2.71529250e-01 2.21560125e-01
 1.36891000e-01 8.08737500e-02 4.83468750e-02 2.71462500e-02
 9.71737500e-03 2.30487500e-03 1.17125000e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[8.8817920e-02 3.5076816e-01 3.5793296e-01 1.6238896e-01 3.6402560e-02
 3.6307200e-03 5.8720000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.02346146 0.05147536 0.06329231 0.06792041 0.06838354 0.06563353
 0.0621218  0.05852376 0.05562307 0.05262648 0.05026884 0.04859024
 0.04685217 0.04576223 0.04427352 0.04284129 0.04098686 0.03883468
 0.03710322 0.03542525]"
['data' 'LabeledDB_new' 'Airplane' '70' 'normalized_v2.ply'],"[0.0014 0.087  0.0816 0.1094 0.14   0.145  0.1566 0.077  0.0568 0.0568
 0.0546 0.0338 0.     0.     0.     0.     0.     0.     0.     0.    ]","[0.06298075 0.1380395  0.14718025 0.17462275 0.183286   0.1421385
 0.076297   0.034131   0.02034275 0.0132145  0.00677575 0.00099125
 0.         0.         0.         0.         0.         0.
 0.         0.        ]","[3.88868750e-02 2.11219750e-01 2.75082000e-01 2.07570500e-01
 1.33381875e-01 8.83226250e-02 3.96525000e-02 5.81525000e-03
 6.86250000e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[1.3174464e-01 4.3704192e-01 3.4038688e-01 8.3951040e-02 6.7531200e-03
 1.2192000e-04 4.8000000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]","[0.03107864 0.06178277 0.06992217 0.07034991 0.06786126 0.06347385
 0.05979603 0.0570363  0.05495568 0.05289843 0.05093486 0.04869492
 0.04633612 0.04393179 0.04135982 0.03931273 0.03751314 0.03571599
 0.03427628 0.03276931]"
