path,d1,d2,d3,d4,a3
['data' 'LabeledDB_new' 'Airplane' '61' 'normalized_v2.ply'],[ 0.82443307  1.17136873  1.21359359  1.08174961  0.39988537  0.55065449  0.23557601 -0.97598948 -0.94267633 -0.83040718 -0.65611605 -0.48554532 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 1.0864037   1.18230461  0.7294611   0.73101585  0.83251216 -0.09436585 -1.19948099 -1.31548993 -1.05838674 -0.84709255 -0.67964605 -0.49867903 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.82101099  1.4073375   1.29984876  0.21688644 -1.10753115 -1.10700251 -0.90838079 -0.79355558 -0.63030344 -0.46600167 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.93432491  1.39869314  0.72320914 -1.08256885 -1.21422191 -0.97854909 -0.71610894 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.77118049  0.16368229 -0.33135196 -0.70307411 -0.51660844 -0.44475569 -0.40765931 -0.39690444 -0.43461427 -0.52560509 -0.64701953 -0.61491248 -0.2045475   0.35184137  0.55491928  0.69725251  0.74798207  0.87371285  0.87349755  0.96603044]
['data' 'LabeledDB_new' 'Airplane' '62' 'normalized_v2.ply'],[-0.4617457   0.91469216  1.12364629  0.78279676  0.2289558   0.03061629  0.23557601 -0.39497643 -0.47764259 -0.44638939 -0.27750253 -0.7789568 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.56303809  1.12796056  0.6166727   0.4619846   0.34395456 -0.04758934 -0.66290488 -0.92825997 -0.79357321 -0.71085104 -0.62319315 -0.52389088 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.33489431  0.77146913  1.12321305  0.87235692 -0.68924297 -1.03879388 -0.86311906 -0.68971493 -0.58326861 -0.46265736 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.34796818  0.92453577  1.1572393  -0.51019804 -1.05815489 -0.94994047 -0.71281983 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.62154239  0.88539939  0.5158575  -0.64145508 -0.72135277 -0.75165053 -0.76782048 -0.80619211 -0.91744219 -1.00844242 -0.99034377 -0.85055945 -0.0309651   0.88131423  1.10296076  1.13919614  1.14436683  0.9615584  0.56341558  0.27973806]
['data' 'LabeledDB_new' 'Airplane' '63' 'normalized_v2.ply'],[-0.4617457   1.34666005  1.17207945  0.82451111  0.577937   -0.00623681 -0.18122388 -0.28783927  0.08300556 -0.32883293 -1.12938295 -1.06334023 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.62453729  1.10759087  0.6955269   0.69969979  0.75605738  0.33598338 -0.73225508 -1.18640632 -1.06975919 -1.06978299 -0.89333672 -0.55341777 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.49267088  1.0244553   1.22161125  0.43627126 -0.94415369 -0.98591659 -0.79174408 -0.67086094 -0.58141532 -0.46302476 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.47052236  1.05000403  1.13256882 -0.66449995 -1.14879721 -0.99880235 -0.71573984 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.29908124  0.54596302  0.50264394 -0.07820813 -0.1189218  -0.05302714 -0.17799222 -0.35453971 -0.54819945 -0.77768331 -0.96514908 -1.04200206 -0.73400516 -0.03894117  0.2743467   0.36252665  0.39935091  0.3298751  0.199784    0.11499335]
['data' 'LabeledDB_new' 'Airplane' '64' 'normalized_v2.ply'],[-0.4617457   1.19641035  0.38331085  0.24746258  0.28593233  0.64483464 -0.10965218 -0.07356495 -0.20383768 -0.0702087  -0.30219472 -0.88277932 -0.64757359 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.33337495  0.70648734  0.20300319  0.31498617  0.6354839   0.63366421 -0.0975113  -0.75444165 -0.856078   -0.71053805 -0.60104577 -0.50088365 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.20113479  0.54196333  0.83089973  0.40484292 -0.3628229  -0.55652509 -0.46400643 -0.542465   -0.55007895 -0.45218166 -0.35868116 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.20601993  0.66242888  1.01025097  0.06178856 -0.86284368 -0.91351047 -0.7071197  -0.51906731 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.42071093  0.71184361  0.29572024 -0.39988242 -0.38015832 -0.41154666 -0.46729437 -0.51211499 -0.58164297 -0.63136366 -0.70870942 -0.73859496 -0.53467599  0.09850022  0.36113078  0.56357768  0.72665433  0.67272088  0.43963865  0.2513373 ]
['data' 'LabeledDB_new' 'Airplane' '65' 'normalized_v2.ply'],[ 0.53861557  0.9772962   0.5216913   0.16403387  0.17554031 -0.27649289 -0.09702188  0.31377709  0.63496148 -0.50516763 -0.65200069 -0.5622837 -0.40208151 -0.25679547 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.48659166  0.5207967  -0.08753801 -0.07096318  0.8024598   0.93441483 -0.09838144 -0.53722442 -0.60446437 -0.58966974 -0.57760945 -0.5249084 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.34190563  0.6371921   0.73569924  0.27364    -0.58429296 -0.52886282 -0.3888431  -0.43267771 -0.45280538 -0.41046256 -0.34721769 -0.27329476 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.4184181   0.90601039  0.9617453  -0.36820513 -0.96904296 -0.93778381 -0.70979563 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.67666147  0.65158638 -0.14849035 -0.99765838 -0.47194091 -0.29912015 -0.35368178 -0.50674262 -0.59052744 -0.6670008  -0.77874744 -0.80932309 -0.59582215 -0.04724843  0.28415236  0.54972472  0.77042328  0.85967209  0.75623765  0.61521598]
['data' 'LabeledDB_new' 'Airplane' '66' 'normalized_v2.ply'],[ 0.45287032  0.94599418  0.24147088  0.06322419  0.19334548  0.41143167  0.51344261  0.33025973  0.3263877  -0.35626277 -0.86599964 -0.98660185 -0.51313745 -0.31079363 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.39802147  0.44283917  0.07176156  0.26856387  0.95843913  0.78168156 -0.02215713 -0.62757738 -0.76956875 -0.76997802 -0.74724082 -0.53875796 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.36807834  0.73381275  0.61350021  0.1190086  -0.39744056 -0.35322936 -0.41560167 -0.50652816 -0.48067743 -0.4170711  -0.35079583 -0.27337381 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.8054244   1.2607668   1.08072028 -0.99841094 -1.36784029 -1.03103585 -0.71631432 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.6641356   0.25103247 -0.5879744  -1.08029456 -0.49507747 -0.29789825 -0.29671422 -0.35760668 -0.42011773 -0.493626   -0.61828101 -0.65949901 -0.37252174  0.11722441  0.37786823  0.58580956  0.82490173  1.03711005  1.16120847  1.33904393]
['data' 'LabeledDB_new' 'Airplane' '67' 'normalized_v2.ply'],[-0.4617457   1.1212855   0.11000944 -0.07929984 -0.06304887  0.33363068  0.26083661  0.03357221  0.28727271  0.01599937 -0.36804055 -0.77444278 -0.11567408 -0.4547887  -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.10996596  0.34770773 -0.09211719 -0.11032136  0.62015157  0.93117598  0.25330563 -0.40079402 -0.52468249 -0.47257568 -0.46712039 -0.48303939 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.03594406  0.29967813  0.53907083  0.39417063 -0.19869826 -0.32446078 -0.27285171 -0.36812225 -0.41182403 -0.39465951 -0.34553893 -0.2730576 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.22430688  0.59874375  1.01510668  0.03313881 -0.82789099 -0.84944335 -0.68124735 -0.51618076 -0.39382797 -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.55604827  0.62629562  0.09314135 -0.50786403 -0.42643204 -0.34683028 -0.34264053 -0.45204851 -0.53485695 -0.58529512 -0.67087982 -0.75625275 -0.60613535  0.01017305  0.22573032  0.41666013  0.5646535   0.60622313  0.53829158  0.50089975]
['data' 'LabeledDB_new' 'Airplane' '68' 'normalized_v2.ply'],[-0.4617457   1.23397277 -0.11831831 -0.18358572 -0.00607235  0.52608576  0.35345881  0.18603663  0.15688942 -0.86567412 -0.6396546  -0.26887222 -0.03968844  0.3281845   0.74504893 -0.1322101  -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.26534835  0.20382882 -0.25659458 -0.12395398  0.49795632  0.69711547  0.10781022 -0.33241185 -0.22093907 -0.14916779 -0.39964957 -0.31315143 -0.16055375 -0.16343235 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.11929064  0.38805714  0.41223344  0.03726944 -0.43052388 -0.15315789 -0.12701928 -0.25575068 -0.26893891 -0.24581882 -0.21099897 -0.13795905 -0.08052546 -0.05913248 -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.28778143  0.76484774  0.91802394 -0.16068589 -0.84827297 -0.86112485 -0.68551277 -0.5147227  -0.39270423 -0.29067806 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.76704468  0.43263303 -0.55820691 -0.59085152 -0.08502343 -0.22126818 -0.3340105  -0.32641756 -0.35532628 -0.49636892 -0.78738282 -0.93906706 -0.88469782 -0.34727652 -0.00095804  0.25121187  0.49280728  0.69074263  0.7217917   0.82855382]
['data' 'LabeledDB_new' 'Airplane' '69' 'normalized_v2.ply'],[-0.4617457   1.33413924  0.76039759  0.21270062  0.23607787 -0.09632217 -0.21069458  0.05417551  0.16992775  0.02383647 -0.7548848  -0.49005934 -0.76447458 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 0.61858674  0.80762619  0.29900304 -0.00335513  0.02416839  0.50257965  0.32366836 -0.38681704 -0.82316925 -0.92543142 -0.78210405 -0.52511567 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.35345146  0.79342125  0.8965606   0.23765987 -0.71125853 -0.75386735 -0.55544042 -0.4015379  -0.40000475 -0.3791485  -0.35038333 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 0.59551723  1.09533499  0.97286994 -0.60485678 -1.1745186  -0.99279223 -0.71528145 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 0.77080513  0.63086493 -0.17291782 -1.13339451 -0.59631367 -0.36029553 -0.27787754 -0.24936585 -0.33145458 -0.56994891 -0.83948229 -0.91957827 -0.66641186 -0.11251447  0.16028949  0.36792809  0.52951529  0.63989056  0.64055125  0.61001756]
['data' 'LabeledDB_new' 'Airplane' '70' 'normalized_v2.ply'],[-0.26167345  1.92887764  0.30374208  0.38998661  0.64203559  0.67759295  0.951293   -0.64221602 -0.99482964 -0.77946605 -0.49973221 -0.53068554 -0.82877012 -0.55378531 -0.42037672 -0.20181746 -0.22040523 -0.19740122 -0.16444502 -0.12903121],[ 1.10153309  0.82142828  0.23408066  0.65820057  1.20568428  0.39403359 -0.93193651 -1.23442481 -0.98171372 -0.76599203 -0.60436725 -0.48697756 -0.29382644 -0.16871265 -0.10701785 -0.0514454  -0.05136655  0.  0.          0.        ],[ 0.85938819  1.25707876  0.93635278  0.02171156 -0.78141095 -0.62560542 -0.70069854 -0.8002733  -0.63375565 -0.46600167 -0.35937185 -0.27340016 -0.16170321 -0.0726421  -0.05205984 -0.05136655  0.          0.  0.          0.        ],[ 1.34559266  1.77407959  0.79075904 -1.7820566  -1.56840375 -1.04437807 -0.71636492 -0.51915606 -0.3938566  -0.29072408 -0.21091133 -0.14582045 -0.0858386  -0.05440089 -0.05136655 -0.05136655  0.          0.  0.          0.        ],[ 1.28778839  0.41894877 -0.71054538 -1.36935804 -0.87771177 -0.63117548 -0.51917005 -0.55153889 -0.64541509 -0.7455064  -0.88368934 -0.89379033 -0.61428836  0.09435737  0.43024074  0.7077877   0.99818974  1.30603926  1.54883659  2.00007837]
