path,bounding_box_p0,bounding_box_p1,surface_area,volume,diameter
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],[-0.47466201 -0.97523898 -0.211997  ],[0.60201001 0.98970902 0.119239  ],6.246197176681186,0.700764390990962,2.264941624242273
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],[-0.80097997 -0.153854   -0.93096101],[0.81147802 0.29155701 0.99852598],9.377676023201488,1.3857701841881107,2.5536898373365027
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],[-0.99471599 -0.124181   -0.84537101],[0.99978602 0.27794799 0.85272801],9.743527673189043,1.3619553700008462,2.650148346786223
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],[-0.76821101 -0.83962202 -0.14594799],[0.77170497 0.99999899 0.34488699],8.983313515334402,1.3904676607442563,2.4487681907224568
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],[-0.999663   -0.85610199 -0.148949  ],[0.69450301 0.86812001 0.213338  ],8.319111680786346,1.0582831866108602,2.444256909999814
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],[-0.99682301 -0.73800302 -0.10352   ],[0.68618202 0.73818803 0.21936999],7.009019506178073,0.8021998276931455,2.261836398126004
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],[-0.99839097 -0.81234097 -0.108847  ],[0.76922899 0.81213802 0.361909  ],8.936624910501877,1.351757739542602,2.4464307818460562
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],[-0.848046   -0.87846601 -0.098027  ],[0.55745697 0.89659202 0.300253  ],7.523206375762288,0.9936486019441747,2.298890294585752
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],[-0.61922801 -0.94339103 -0.109835  ],[0.80114901 0.95531398 0.267849  ],7.900882230309946,1.018567266426791,2.401082415899851
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],[-0.62754703 -0.98559302 -0.172914  ],[0.56033099 0.99884599 0.24910501],7.392099097988051,0.9948133614843078,2.350989668029431
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],[-0.83764899 -0.98194498 -0.123477  ],[0.77286297 0.99644798 0.31294799],9.50502659053504,1.3905484258874146,2.5880985753220997
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],[-0.80012    -0.98422498 -0.0927    ],[0.64798301 0.99471498 0.285447  ],8.32326981988303,1.083659219417183,2.481169242424983
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],[-0.89365298 -0.97231901 -0.121931  ],[0.68551803 0.98491299 0.27336699],8.97747402233991,1.2217886126703654,2.5457412769786982
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],[-0.76172298 -0.97458398 -0.128179  ],[0.60097301 0.98356402 0.26549599],7.9513872865203385,1.0504667530501128,2.417904869976403
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],[-0.99911302 -0.831949   -0.126864  ],[0.74962902 0.84124899 0.156793  ],7.793297809240302,0.829978015803292,2.4368322727861123
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],[-0.997913   -0.73194402 -0.12601601],[0.83532602 0.74372    0.328565  ],8.418818672035945,1.229752933397435,2.396871605120001
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],[-0.87261099 -0.112446   -0.99926299],[0.87496799 0.33892301 0.78739101],9.4351244055568,1.4093180196277284,2.539665089933022
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],[-0.99779302 -0.903584   -0.121189  ],[0.82673198 0.904432   0.482449  ],10.983020308837688,1.991263141085433,2.6385966273539774
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],[-0.89762503 -0.96610802 -0.103375  ],[0.679039   0.98601103 0.46487799],10.16615490208406,1.7489894663588235,2.572848562787715
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],[-0.91575402 -0.97575402 -0.113978  ],[0.63262099 0.94688803 0.42378199],9.687090013752655,1.6008958440686503,2.5265002355441526
['data' 'LabeledDB_new' 'Ant' '100' 'original.ply'],[-0.377489   -0.81231898 -0.52976799],[0.37869999 0.86901301 0.54171801],7.766348670618953,1.3622923731727656,2.132318291106251
['data' 'LabeledDB_new' 'Ant' '81' 'original.ply'],[-0.48686001 -0.97787702 -0.48428801],[0.41716501 0.84536099 0.241441  ],7.255013327032431,1.1961848475378807,2.160588040356008
['data' 'LabeledDB_new' 'Ant' '82' 'original.ply'],[-0.48761299 -0.86030197 -0.579611  ],[0.61847299 0.92207801 0.39406401],9.567785326463245,1.9195667177258577,2.312649486791146
['data' 'LabeledDB_new' 'Ant' '83' 'original.ply'],[-0.61159301 -0.94282401 -0.314417  ],[0.48783299 0.92787403 0.29950199],7.760219216226938,1.2626435398535492,2.2550266507916366
['data' 'LabeledDB_new' 'Ant' '84' 'original.ply'],[-0.43863001 -0.82299101 -0.45998499],[0.42824    0.92733902 0.487656  ],7.994949305175121,1.4378638371603722,2.170977263459189
['data' 'LabeledDB_new' 'Ant' '85' 'original.ply'],[-0.63033199 -0.81419802 -0.201516  ],[0.46254301 0.93533099 0.40810901],7.289634187111979,1.1656130915293816,2.151016077347741
['data' 'LabeledDB_new' 'Ant' '86' 'original.ply'],[-0.330663 -0.925771 -0.480266],[0.31010199 0.90053701 0.35527501],6.463149760101089,0.9777786816200467,2.1081056651610166
['data' 'LabeledDB_new' 'Ant' '87' 'original.ply'],[-0.56566799 -0.87576097 -0.54826599],[0.66233099 0.96299702 0.307246  ],9.76328057234339,1.931740026601376,2.370846515047995
['data' 'LabeledDB_new' 'Ant' '88' 'original.ply'],[-0.76044601 -0.84433103 -0.638264  ],[0.75040698 0.98123503 0.37488699],12.276916388599311,2.7944344948837534,2.5771773530161806
['data' 'LabeledDB_new' 'Ant' '89' 'original.ply'],[-0.54617202 -0.88876402 -0.209979  ],[0.48006299 0.91989797 0.42837101],7.331537611842453,1.1848492862838176,2.1752947524591684
['data' 'LabeledDB_new' 'Ant' '90' 'original.ply'],[-0.51492101 -0.88920599 -0.45636001],[0.60625899 0.91630399 0.38597399],8.97910433382232,1.7051381364450815,2.286140298231983
['data' 'LabeledDB_new' 'Ant' '91' 'original.ply'],[-0.56759799 -0.80226099 -0.492147  ],[0.59686899 0.970994   0.40660301],9.410349036040031,1.855826084357103,2.3039462185057906
['data' 'LabeledDB_new' 'Ant' '92' 'original.ply'],[-0.45601901 -0.91071099 -0.31230801],[0.50269401 0.99820697 0.26227501],6.955593198773295,1.0515469860689803,2.212067834999854
['data' 'LabeledDB_new' 'Ant' '93' 'original.ply'],[-0.78944302 -0.88670301 -0.224755  ],[0.75233698 0.95122999 0.491097  ],10.506125343473942,2.0285014843779745,2.5035030209726443
['data' 'LabeledDB_new' 'Ant' '94' 'original.ply'],[-0.92970002 -0.290205   -0.77712297],[0.79455  0.330704 0.716456],9.146565129359978,1.5990291767355218,2.3641794053200123
['data' 'LabeledDB_new' 'Ant' '95' 'original.ply'],[-0.66633201 -0.82165003 -0.22944801],[0.51441699 0.95625001 0.25301301],7.053373054568805,1.0128080786703093,2.1881191438863485
['data' 'LabeledDB_new' 'Ant' '96' 'original.ply'],[-0.76046199 -0.96573901 -0.33206201],[0.62312102 0.73051703 0.402383  ],9.21776689488458,1.7236770908571337,2.3088949669082166
['data' 'LabeledDB_new' 'Ant' '97' 'original.ply'],[-0.56225598 -0.88300699 -0.18466599],[0.49010399 0.82999498 0.211496  ],5.7964519561297445,0.7141591149480029,2.0490928630319454
