path,class,mesh_is_watertight,diameter,mesh_nr_vertices,mesh_nr_faces,mesh_surface_area,mesh_volume,convex_hull_nr_vertices,convex_hull_nr_faces,convex_hull_surface_area,convex_hull_volume,bounding_box_p0,bounding_box_p1,bounding_box_surface_area,bounding_box_volume,bounding_box_diameter,distance_to_center,scale,alignment,correctly_oriented_axes,eigenvalues
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],Airplane,True,1.9655930395984773,5400,10796,1.915367708,0.07354952008541275,455,906,3.164319485,0.2612858815292373,[-0.47466201 -0.97523898 -0.211997  ],[0.60201001 0.98970902 0.119239  ],6.246197177,0.700764391,2.264941624,0.000337357,1.964947999,0.333334934,2,[0.2142675  0.06386693 0.00724108]
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],Airplane,True,1.9531221524786755,5619,11234,2.069691299,0.10507855435626341,457,910,4.033599848,0.35865419796258036,[-0.80097997 -0.153854   -0.93096101],[0.81147802 0.29155701 0.99852598],9.377676023,1.385770184,2.553689837,0.000336997,1.92948699,0.042862397,2,[0.22706488 0.06902181 0.00973072]
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],Airplane,True,1.994663196558449,5519,11034,2.161627455,0.10515980357182238,372,740,4.288945996,0.3763770053053758,[-0.99471599 -0.124181   -0.84537101],[0.99978602 0.27794799 0.85272801],9.743527673,1.36195537,2.650148347,0.000356782,1.994502008,0.032388856,2,[0.15738226 0.13211464 0.00691197]
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],Airplane,True,1.861235584711179,6797,13590,2.279627611,0.09974084520241534,302,600,3.983646042,0.3847160954539774,[-0.76821101 -0.83962202 -0.14594799],[0.77170497 0.99999899 0.34488699],8.983313515,1.390467661,2.448768191,0.000275784,1.839621007,0.332996954,2,[0.20280074 0.08949831 0.00645603]
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],Airplane,True,1.7242407296506566,6448,12892,1.860338217,0.06699397721754789,287,570,3.805790203,0.3073801365931625,[-0.999663   -0.85610199 -0.148949  ],[0.69450301 0.86812001 0.213338  ],8.319111681,1.058283187,2.44425691,0.000239589,1.724222004,0.999794225,2,[0.16529798 0.10647432 0.00461183]
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],Airplane,True,1.7049772830162693,7739,15474,2.128028831,0.06093602893690936,332,660,3.376734974,0.23116921469184484,[-0.99682301 -0.73800302 -0.10352   ],[0.68618202 0.73818803 0.21936999],7.009019506,0.802199828,2.261836398,0.000185024,1.683005035,0.99947944,2,[0.13782586 0.10856203 0.00222693]
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],Airplane,True,1.8133351120983012,7651,15298,2.477437099,0.10393736870680863,448,892,4.156062325,0.389025946906511,[-0.99839097 -0.81234097 -0.108847  ],[0.76922899 0.81213802 0.361909  ],8.936624911,1.35175774,2.446430782,0.000193554,1.767619967,0.999341783,1,[0.18997261 0.11021301 0.00574078]
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],Airplane,True,1.7751502637784249,5583,11162,1.724380777,0.05483224340720844,213,422,3.258800436,0.2543306955067163,[-0.848046   -0.87846601 -0.098027  ],[0.55745697 0.89659202 0.300253  ],7.523206376,0.993648602,2.298890295,0.000337478,1.775058031,0.416669566,2,[0.13137833 0.12275992 0.00396611]
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],Airplane,True,1.8996630175190838,6701,13398,2.249767044,0.08604705030233452,379,754,4.023493096,0.3303845458073981,[-0.61922801 -0.94339103 -0.109835  ],[0.80114901 0.95531398 0.267849  ],7.90088223,1.018567266,2.401082416,0.00023999,1.898705006,0.359305038,3,[0.16521886 0.14448769 0.0045847 ]
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],Airplane,True,1.9892534696283868,5631,11258,2.03024253,0.05956505800939141,255,506,3.759636161,0.33928379039105083,[-0.62754703 -0.98559302 -0.172914  ],[0.56033099 0.99884599 0.24910501],7.392099098,0.994813361,2.350989668,0.000315405,1.984439015,0.333509694,3,[0.22752196 0.0793868  0.00301552]
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],Airplane,True,1.9784586904303358,5849,11694,2.17761852,0.08699089708104189,285,566,4.235680546,0.3782028412973039,[-0.83764899 -0.98194498 -0.123477  ],[0.77286297 0.99644798 0.31294799],9.505026591,1.390548426,2.588098575,0.000286563,1.978392959,0.997571639,3,[0.15616772 0.14185729 0.00567087]
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],Airplane,True,1.979170581343597,5228,10452,1.921655269,0.06620393250842173,275,546,3.953944222,0.32025067495722687,[-0.80012    -0.98422498 -0.0927    ],[0.64798301 0.99471498 0.285447  ],8.32326982,1.083659219,2.481169242,0.000364753,1.97893995,0.333428163,3,[0.16084325 0.12678542 0.00382391]
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],Airplane,True,1.9572330147933796,5109,10214,1.848657782,0.06508994264176164,273,542,3.937065003,0.32482345424523884,[-0.89365298 -0.97231901 -0.121931  ],[0.68551803 0.98491299 0.27336699],8.977474022,1.221788613,2.545741277,0.000343005,1.957231998,0.347413051,2,[0.15529828 0.13255333 0.00387417]
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],Airplane,True,1.9581493094847715,5044,10084,1.849685567,0.073266946741325,312,620,3.336381647,0.26732775291046623,[-0.76172298 -0.97458398 -0.128179  ],[0.60097301 0.98356402 0.26549599],7.951387287,1.050466753,2.41790487,0.000346169,1.958148003,0.337078204,2,[0.15682251 0.09281194 0.00391521]
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],Airplane,True,1.7583431275511767,8679,17354,2.595345323,0.09892507743753763,413,822,4.085957824,0.3216603497220076,[-0.99911302 -0.831949   -0.126864  ],[0.74962902 0.84124899 0.156793  ],7.793297809,0.829978016,2.436832273,0.000207892,1.748742044,0.999256127,1,[0.15120271 0.1385509  0.00436836]
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],Airplane,True,1.8508279072180494,5923,11842,1.994027349,0.09038375326160679,396,788,3.716249134,0.3329815415354774,[-0.997913   -0.73194402 -0.12601601],[0.83532602 0.74372    0.328565  ],8.418818672,1.229752933,2.396871605,0.000156551,1.833239019,0.998478696,3,[0.22792691 0.06144143 0.00606183]
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],Airplane,True,1.8118491175732647,6587,13170,2.053608759,0.07841106880211762,353,702,4.065521303,0.35366632502502654,[-0.87261099 -0.112446   -0.99926299],[0.87496799 0.33892301 0.78739101],9.435124406,1.40931802,2.53966509,0.000230239,1.786653996,0.028614665,2,[0.18514678 0.10713503 0.00514987]
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],Airplane,True,1.9030209369033761,7470,14936,2.406254075,0.08663960959793353,305,606,5.168153669,0.49892707331583824,[-0.99779302 -0.903584   -0.121189  ],[0.82673198 0.904432   0.482449  ],10.98302031,1.991263141,2.638596627,0.00019593,1.824524999,0.996230564,3,[0.25094345 0.13064819 0.0065805 ]
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],Airplane,True,1.9522222269983411,6689,13374,2.407611887,0.08462116758951745,332,660,4.654040389,0.472722470644084,[-0.89762503 -0.96610802 -0.103375  ],[0.679039   0.98601103 0.46487799],10.1661549,1.748989466,2.572848563,0.000263084,1.952119052,0.652889587,3,[0.16049121 0.15558309 0.00719711]
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],Airplane,True,1.922655954913752,7351,14698,2.554367552,0.09206844952233793,312,620,4.691548807,0.4705610593493605,[-0.91575402 -0.97575402 -0.113978  ],[0.63262099 0.94688803 0.42378199],9.687090014,1.600895844,2.526500236,0.000243691,1.922642052,0.946754378,2,[0.16408178 0.15593278 0.00670358]
['data' 'LabeledDB_new' 'Ant' '100' 'original.ply'],Ant,True,1.7251555833690873,8064,16124,2.366413221,0.09086409503221782,450,896,4.017065947,0.5678953269493582,[-0.377489   -0.81231898 -0.52976799],[0.37869999 0.86901301 0.54171801],7.766348671,1.362292373,2.132318291,0.000224458,1.681331992,0.098812921,2,[0.18263508 0.04707894 0.03158756]
['data' 'LabeledDB_new' 'Ant' '81' 'original.ply'],Ant,True,1.8382229168878677,6370,12736,2.175360147,0.09418626674236545,380,756,3.865547062,0.5434021676100995,[-0.48686001 -0.97787702 -0.48428801],[0.41716501 0.84536099 0.241441  ],7.255013327,1.196184848,2.16058804,0.000285776,1.823238015,0.337310879,0,[0.20922067 0.03191532 0.0241319 ]
['data' 'LabeledDB_new' 'Ant' '82' 'original.ply'],Ant,True,1.8488917528134188,8299,16594,2.778507015,0.13805735680699363,603,1202,4.990796889,0.8354148269652711,[-0.48761299 -0.86030197 -0.579611  ],[0.61847299 0.92207801 0.39406401],9.567785326,1.919566718,2.312649487,0.000178735,1.782379985,0.344342088,2,[0.23002217 0.0533481  0.03254073]
['data' 'LabeledDB_new' 'Ant' '83' 'original.ply'],Ant,True,1.9099718046336671,6376,12748,2.32874671,0.1077537896719067,548,1092,4.068412579,0.5297125766772707,[-0.61159301 -0.94282401 -0.314417  ],[0.48783299 0.92787403 0.29950199],7.760219216,1.26264354,2.255026651,0.000213826,1.870698035,0.343145851,1,[0.22848197 0.05189503 0.01678242]
['data' 'LabeledDB_new' 'Ant' '84' 'original.ply'],Ant,True,1.7944004601948054,6850,13696,2.215585276,0.09006343202188266,439,874,4.389672745,0.6450202154307347,[-0.43863001 -0.82299101 -0.45998499],[0.42824    0.92733902 0.487656  ],7.994949305,1.437863837,2.170977263,0.000242775,1.750330031,0.319600532,2,[0.22222796 0.03712317 0.03519384]
['data' 'LabeledDB_new' 'Ant' '85' 'original.ply'],Ant,True,1.8963938143335914,8388,16772,2.689455745,0.12448277845910755,632,1260,4.141284455,0.512707087470366,[-0.63033199 -0.81419802 -0.201516  ],[0.46254301 0.93533099 0.40810901],7.289634187,1.165613092,2.151016077,0.000218013,1.749529004,0.494851456,2,[0.22698946 0.06576886 0.0107245 ]
['data' 'LabeledDB_new' 'Ant' '86' 'original.ply'],Ant,True,1.8704414852783653,7038,14072,2.445923583,0.12276251323039226,810,1616,3.765316705,0.49599397690977565,[-0.330663 -0.925771 -0.480266],[0.31010199 0.90053701 0.35527501],6.46314976,0.977778682,2.108105665,0.000260347,1.826308012,0.09068991,2,[0.22838665 0.03430881 0.02664337]
['data' 'LabeledDB_new' 'Ant' '87' 'original.ply'],Ant,True,1.9079791605187417,7470,14936,2.663823593,0.13984274711827202,365,726,5.353306222,0.8988094376047376,[-0.56566799 -0.87576097 -0.54826599],[0.66233099 0.96299702 0.307246  ],9.763280572,1.931740027,2.370846515,0.000245412,1.838757992,0.350785339,2,[0.24673778 0.05796464 0.0263178 ]
['data' 'LabeledDB_new' 'Ant' '88' 'original.ply'],Ant,True,1.861510544536948,8210,16416,2.847303205,0.14016129422783627,395,786,5.725227507,0.9672926820657427,[-0.76044601 -0.84433103 -0.638264  ],[0.75040698 0.98123503 0.37488699],12.27691639,2.794434495,2.577177353,0.000202027,1.825566053,0.357064426,2,[0.22817554 0.08662415 0.03233869]
['data' 'LabeledDB_new' 'Ant' '89' 'original.ply'],Ant,True,1.852446567766093,7654,15304,2.581576438,0.1039757963727807,409,814,4.111836403,0.5447930698194576,[-0.54617202 -0.88876402 -0.209979  ],[0.48006299 0.91989797 0.42837101],7.331537612,1.184849286,2.175294752,0.000255923,1.808661997,0.34500262,1,[0.19707549 0.06010837 0.01467643]
['data' 'LabeledDB_new' 'Ant' '90' 'original.ply'],Ant,True,1.8366656884469281,7877,15750,2.697030497,0.12733684349660238,458,912,4.891267107,0.7405609752741767,[-0.51492101 -0.88920599 -0.45636001],[0.60625899 0.91630399 0.38597399],8.979104334,1.705138136,2.286140298,0.000201946,1.805509984,0.338509176,1,[0.22220775 0.06518248 0.034096  ]
['data' 'LabeledDB_new' 'Ant' '91' 'original.ply'],Ant,True,1.8221448612393452,8640,17276,2.869964931,0.14616373624927237,337,670,5.387283167,0.8826301669427306,[-0.56759799 -0.80226099 -0.492147  ],[0.59686899 0.970994   0.40660301],9.410349036,1.855826084,2.303946219,0.000155827,1.773254991,0.338312705,1,[0.24364614 0.05577347 0.03525378]
['data' 'LabeledDB_new' 'Ant' '92' 'original.ply'],Ant,True,1.946821103593413,5867,11730,2.189545086,0.10178840913129279,501,998,3.73276659,0.45532980114963983,[-0.45601901 -0.91071099 -0.31230801],[0.50269401 0.99820697 0.26227501],6.955593199,1.051546986,2.212067835,0.000245211,1.908917964,0.332862912,2,[0.25841515 0.03392415 0.01767579]
['data' 'LabeledDB_new' 'Ant' '93' 'original.ply'],Ant,True,1.8964555015712727,8216,16432,2.849598762,0.15377990172170883,590,1176,5.222706471,0.7263374318246351,[-0.78944302 -0.88670301 -0.224755  ],[0.75233698 0.95122999 0.491097  ],10.50612534,2.028501484,2.503503021,0.000277563,1.837933004,0.331528131,2,[0.25903265 0.08266758 0.02307884]
['data' 'LabeledDB_new' 'Ant' '94' 'original.ply'],Ant,True,1.8281657487274572,7236,14468,2.276848176,0.08421666646648103,375,746,4.628771017,0.5090697067385885,[-0.92970002 -0.290205   -0.77712297],[0.79455  0.330704 0.716456],9.146565129,1.599029177,2.364179405,0.000145405,1.724250019,0.440340569,2,[0.17824615 0.10256147 0.00855216]
['data' 'LabeledDB_new' 'Ant' '95' 'original.ply'],Ant,True,1.881393298067636,7355,14706,2.445665084,0.12148499153816161,609,1214,3.929345469,0.48103965670831345,[-0.66633201 -0.82165003 -0.22944801],[0.51441699 0.95625001 0.25301301],7.053373055,1.012808079,2.188119144,0.000181,1.77790004,0.461205523,2,[0.22426369 0.06059291 0.0104651 ]
['data' 'LabeledDB_new' 'Ant' '96' 'original.ply'],Ant,True,1.8748324531087084,8504,17004,2.59129351,0.1036496686499878,438,872,4.494811864,0.4442967980533479,[-0.76046199 -0.96573901 -0.33206201],[0.62312102 0.73051703 0.402383  ],9.217766895,1.723677091,2.308894967,0.00017199,1.696256042,0.608150557,1,[0.18193074 0.10085302 0.00771912]
['data' 'LabeledDB_new' 'Ant' '97' 'original.ply'],Ant,True,1.8446480902871256,8167,16330,2.510812251,0.10008168030379626,440,876,3.872775698,0.4168279157904502,[-0.56225598 -0.88300699 -0.18466599],[0.49010399 0.82999498 0.211496  ],5.796451956,0.714159115,2.049092863,0.000235273,1.713001966,0.398464028,0,[0.17962775 0.06919908 0.00888278]
['data' 'LabeledDB_new' 'Ant' '98' 'original.ply'],Ant,True,1.934170964091958,6154,12304,2.316680912,0.11698885313032559,528,1052,3.879416678,0.5137038191411083,[-0.44565299 -0.95827198 -0.42872301],[0.392499   0.93863899 0.38128099],7.610623254,1.287825113,2.226404376,0.000252959,1.896910965,0.33884082,1,[0.24737832 0.03244696 0.0199223 ]
['data' 'LabeledDB_new' 'Ant' '99' 'original.ply'],Ant,True,1.8128002093457487,6881,13758,2.217973129,0.08178789748212612,346,688,4.606933315,0.6067241656108951,[-0.58798999 -0.93640298 -0.47950301],[0.67311198 0.81604701 0.28520799],9.029028843,1.690025149,2.290467643,0.000228361,1.752449989,0.326220743,1,[0.20208282 0.06188528 0.01901751]
['data' 'LabeledDB_new' 'Armadillo' '281' 'original.ply'],Armadillo,True,1.7153211903731174,25273,50542,3.043360521,0.18068119434785557,292,580,4.30860857,0.6279229202309918,[-0.70611697 -0.684591   -0.471506  ],[0.54328698 0.64282799 0.65875202],9.14191465,1.874513182,2.144885684,0.001538294,1.327418983,0.523338112,1,[0.12473834 0.08991569 0.0316912 ]
['data' 'LabeledDB_new' 'Armadillo' '282' 'original.ply'],Armadillo,False,1.8248408551889783,24473,48942,3.289124931,0.20069750545655565,506,1008,4.144838603,0.6301306088527292,[-0.40090999 -0.892775   -0.490459  ],[0.448975   0.72728401 0.48733899],7.5839402,1.346294682,2.074363661,0.002526841,1.620059013,0.260313278,2,[0.15712175 0.06856696 0.02750926]
['data' 'LabeledDB_new' 'Armadillo' '283' 'original.ply'],Armadillo,True,1.9896561474769812,24484,48964,2.609718047,0.13367492463896855,397,790,3.525474659,0.43202665436680077,[-0.47476    -0.951002   -0.47300401],[0.41338301 0.92768598 0.46067399],8.503745604,1.557882437,2.278161786,0.004175917,1.878687978,0.336761275,0,[0.21933945 0.03760243 0.01548957]
['data' 'LabeledDB_new' 'Armadillo' '284' 'original.ply'],Armadillo,False,1.6577509413928908,25494,50984,3.408715296,0.215790443510686,771,1538,4.468277458,0.7148626476429927,[-0.56030202 -0.84252501 -0.70154899],[0.59750199 0.596627   0.69585198],10.59048966,2.328427707,2.316117031,3.71e-05,1.439152002,0.308324937,2,[0.13324407 0.08189654 0.04808285]
['data' 'LabeledDB_new' 'Armadillo' '285' 'original.ply'],Armadillo,True,1.725435544793691,25193,50382,3.813834789,0.24859267648061092,709,1414,5.01283676,0.8506860399264423,[-0.47710499 -0.86975002 -0.78746903],[0.55666798 0.68065798 0.64269602],10.59715045,2.292225494,2.349004816,0.001679723,1.550408006,0.265538728,1,[0.18834867 0.07529296 0.04056961]
['data' 'LabeledDB_new' 'Armadillo' '286' 'original.ply'],Armadillo,True,1.6997228388340808,25108,50212,4.577652173,0.3097542903614327,895,1786,5.630447979,1.0798175458332961,[-0.62711298 -0.65712398 -0.76235503],[0.71248603 0.66434503 0.55341703],10.54319505,2.329230458,2.296097115,0.002203323,1.339599013,0.338769214,2,[0.15068169 0.09671472 0.07243089]
['data' 'LabeledDB_new' 'Armadillo' '287' 'original.ply'],Armadillo,False,1.8594117907108743,25491,50978,4.26706095,0.2832362097397481,433,862,5.669218245,1.02610055789835,[-0.63016498 -0.64700699 -0.72964299],[0.68514699 0.83988798 0.71523201],12.00913898,2.825786462,2.455313826,5.36e-05,1.486894965,0.283046164,3,[0.17999722 0.08934167 0.05096945]
