path,class,mesh_is_watertight,diameter,mesh_nr_vertices,mesh_nr_faces,mesh_surface_area,mesh_volume,ch_nr_vertices,ch_nr_faces,ch_surface_area,ch_volume,bb_p0,bb_p1,bb_surface_area,bb_volume,bb_diameter,distance_to_center,scale,alignment,correctly_oriented_axes,eigenvalue_s1,eigenvalue_s2,eigenvalue_s3
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],Airplane,True,1.9655930395984773,5400,10796,1.915367708,0.07354952,455,906,3.164319485,0.261285882,[-0.47466201 -0.97523898 -0.211997  ],[0.60201001 0.98970902 0.119239  ],6.246197177,0.700764391,2.264941624,0.000337357,1.964947999,0.333334934,2,0.21426749934927813,0.06386692930304984,0.007241084411233556
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],Airplane,True,1.9531221524786755,5619,11234,2.069691299,0.105078554,457,910,4.033599848,0.358654198,[-0.80097997 -0.153854   -0.93096101],[0.81147802 0.29155701 0.99852598],9.377676023,1.385770184,2.553689837,0.000336997,1.92948699,0.042862397,2,0.2270648773178129,0.069021813064672,0.009730723986798417
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],Airplane,True,1.994663196558449,5519,11034,2.161627455,0.105159804,372,740,4.288945996,0.376377005,[-0.99471599 -0.124181   -0.84537101],[0.99978602 0.27794799 0.85272801],9.743527673,1.36195537,2.650148347,0.000356782,1.994502008,0.032388856,2,0.15738226292984964,0.1321146367890671,0.00691196877818053
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],Airplane,True,1.861235584711179,6797,13590,2.279627611,0.099740845,302,600,3.983646042,0.384716095,[-0.76821101 -0.83962202 -0.14594799],[0.77170497 0.99999899 0.34488699],8.983313515,1.390467661,2.448768191,0.000275784,1.839621007,0.332996954,2,0.202800741754639,0.0894983087104501,0.00645602632102761
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],Airplane,True,1.7242407296506566,6448,12892,1.860338217,0.066993977,287,570,3.805790203,0.307380137,[-0.999663   -0.85610199 -0.148949  ],[0.69450301 0.86812001 0.213338  ],8.319111681,1.058283187,2.44425691,0.000239589,1.724222004,0.999794225,2,0.16529798490402497,0.10647431914843121,0.004611832052522266
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],Airplane,True,1.7049772830162693,7739,15474,2.128028831,0.060936029,332,660,3.376734974,0.231169215,[-0.99682301 -0.73800302 -0.10352   ],[0.68618202 0.73818803 0.21936999],7.009019506,0.802199828,2.261836398,0.000185024,1.683005035,0.99947944,2,0.13782586211153414,0.10856202810859567,0.002226930230661811
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],Airplane,True,1.8133351120983012,7651,15298,2.477437099,0.103937369,448,892,4.156062325,0.389025947,[-0.99839097 -0.81234097 -0.108847  ],[0.76922899 0.81213802 0.361909  ],8.936624911,1.35175774,2.446430782,0.000193554,1.767619967,0.999341783,1,0.18997261269284837,0.11021301306013061,0.005740781518829818
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],Airplane,True,1.7751502637784249,5583,11162,1.724380777,0.054832243,213,422,3.258800436,0.254330696,[-0.848046   -0.87846601 -0.098027  ],[0.55745697 0.89659202 0.300253  ],7.523206376,0.993648602,2.298890295,0.000337478,1.775058031,0.416669566,2,0.1313783317066659,0.12275992230817397,0.003966106731520175
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],Airplane,True,1.8996630175190838,6701,13398,2.249767044,0.08604705,379,754,4.023493096,0.330384546,[-0.61922801 -0.94339103 -0.109835  ],[0.80114901 0.95531398 0.267849  ],7.90088223,1.018567266,2.401082416,0.00023999,1.898705006,0.359305038,3,0.1652188567899293,0.14448768874705264,0.0045847014343373405
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],Airplane,True,1.9892534696283868,5631,11258,2.03024253,0.059565058,255,506,3.759636161,0.33928379,[-0.62754703 -0.98559302 -0.172914  ],[0.56033099 0.99884599 0.24910501],7.392099098,0.994813361,2.350989668,0.000315405,1.984439015,0.333509694,3,0.22752195626771474,0.07938680402117236,0.003015524603072193
