path,surface_area,compactness,rectangularity,diameter,eccentricity,convexity,major_eccentricity,minor_eccentricity
['data' 'LabeledDB_new' 'Airplane' '61' 'refined.ply'],-0.843721084616347,-0.1263410374762865,-0.6817484568803408,-0.7416040817563708,0.3709093936002719,-0.45625836479526377,-0.20949732163088722,0.24656053761271593
['data' 'LabeledDB_new' 'Airplane' '62' 'refined.ply'],-0.7870504166320118,-0.31868618620812955,-0.650129717735031,-0.7439160571613426,0.20084190234047855,-0.4233628836766324,-0.122070322353009,-0.007817399711608622
['data' 'LabeledDB_new' 'Airplane' '63' 'refined.ply'],-0.7884756632444005,-0.27611391147607384,-0.6867282723140845,-0.7594525160762393,0.16706012965280012,-0.4652514319505212,-0.4974319176725726,1.1173378377223937
['data' 'LabeledDB_new' 'Airplane' '64' 'refined.ply'],-0.6477229384386518,-0.16997575159450226,-0.6937896453041706,-0.7030367184583036,0.563292753396569,-0.5346253503766842,-0.34913172008254595,0.8233397254747633
['data' 'LabeledDB_new' 'Airplane' '65' 'refined.ply'],-0.6941539533037957,-0.07481044315447158,-0.7995548336791357,-0.7768190795681287,0.7186091832617352,-0.702881974314435,-0.45855513851040774,1.7433274385408688
['data' 'LabeledDB_new' 'Airplane' '66' 'refined.ply'],-0.5587376211029668,0.35959928010502434,-0.7222024328321097,-0.6773209989020074,1.742929157660823,-0.5232197774267361,-0.5126987042730887,4.594849502196687
['data' 'LabeledDB_new' 'Airplane' '67' 'refined.ply'],-0.510219387106442,-0.08541200632091306,-0.7266540423463607,-0.5684225948188539,0.6510563288662858,-0.5046560498806874,-0.4365082672667681,1.4423974466507066
['data' 'LabeledDB_new' 'Airplane' '68' 'refined.ply'],-0.639589282546715,0.02793917449949549,-0.8778211389406217,0.5156809362488682,0.6457534178721551,-0.7109571377897561,-0.5522305534503122,3.0419991827370807
['data' 'LabeledDB_new' 'Airplane' '69' 'refined.ply'],-0.6964187228601423,-0.03450703702246371,-0.6184618784249725,-0.7563215780409606,0.6783706269713571,-0.539123430996891,-0.5375738849748595,2.7934091709117994
['data' 'LabeledDB_new' 'Airplane' '70' 'refined.ply'],-0.8232079153164951,0.2783067422893141,-0.7514519297624729,-0.7411429546277698,2.659165803093677,-0.7868000841474574,-0.2691892810220561,2.495700655714566
['data' 'LabeledDB_new' 'Airplane' '71' 'refined.ply'],-0.7753469825534961,-0.10278041439461877,-0.7919988557336765,-0.7590865478978099,0.4168272846910179,-0.6539846984076343,-0.5253635346280118,1.9630808740585688
['data' 'LabeledDB_new' 'Airplane' '72' 'refined.ply'],-0.8502196286443101,-0.0018775034591155993,-0.8260135869531018,-0.7555309678289686,0.9181492809117217,-0.7475387830934612,-0.5271238796661494,3.1372607194433346
